R1-6,L1,[200],-80,-48,0.02,1,1,1,0,,
R1-6,L2,[200],-80,-48,0.02,1,1,1,0,,
R1-6,L3,[60],-80,-48,0.02,1,1,1,0,,
L1,L5,[133],0,-54,0.02,1,50,1,0,,
L2,L4,"[5, 0, 0, 0, 3, 5, 0]",0,-54,0.4,20,1,1,1,,
L2,L5,[68],0,-54,0.02,1,50,1,0,,
L4,L3,[0],0,-60,0.02,1,1,1,0,,
L4,L4,[0],-80,-80,10,500,1,1,0,,
L4,L5,[0],0,-60,0.5,25,1,1,0,,
L5,L1,[32],0,-28,0.02,1,1,1,0,,
L5,L2,[8],0,-28,0.02,1,1,1,0,,
L5,L5,[0],-80,-40,1,50,1,1,0,,
L1,C2,[57],0,-54,0.00008,0.004,1,1,0,,
L1,C3,[84],0,-54,0.00004,0.002,1,1,0,,
L1,Mi1,[156],0,-54,0.00002,0.001,1,1,0,,
L2,Tm1,[193],0,-54,0.00003,0.0015,1,1,0,,
L2,Tm2,[179],0,-54,0.00003,0.0015,1,1,0,,
L2,Tm9,[0],0,-54,0.0006,0.03,1,2,0,,
L2,C3,[3],0,-54,0.00004,0.002,1,1,0,,
L2,Mi1,[1],0,-54,0.00003,0.0015,1,1,0,,
L2,Tm4,[67],0,-54,0.00008,0.004,1,1,0,,
L3,Tm9,[28],0,-38,0.0006,0.03,1,2,0,,
L3,C3,[7],0,-38,0.00004,0.002,1,1,0,,
L3,Mi1,[28],0,-38,0.00003,0.0015,1,1,0,,
L4,Tm2,[5],0,-45,0.00003,0.0015,1,1,0,,
L4,Tm9,[0],0,-28,0.0006,0.03,1,2,0,,
L4,Tm4,[5],0,-28,0.00008,0.004,1,1,0,,
L5,Tm1,[1],0,-28,0.00003,0.0015,1,1,0,,
L5,C2,[10],0,-28,0.00008,0.004,1,1,0,,
L5,C3,[10],0,-28,0.00004,0.002,1,1,0,,
L5,Mi1,[44],0,-28,0.00003,0.0015,1,1,0,,
C2,L1,[26],-80,-25,0.03,1.5,1,1,0,,
C2,L2,[15],-80,-25,0.03,0.001,1,1,0,,
C2,L3,[5],-80,-25,0.03,0.001,1,1,0,,
C2,L4,[0],-80,-25,0.03,50,1,1,0,,
C2,L5,[26],-80,-25,0.03,50,1,1,0,,
C3,L2,[68],-80,-23,0.03,0.001,1,1,0,,
C3,L3,[0],-80,-23,0.03,0.001,1,1,0,,
C3,L5,[15],-80,-23,0.03,0.001,1,1,0,,
Tm1,L2,[3],0,-40,0.03,0.01,1,1,0,,
Tm1,L5,[17],0,-40,0.03,50,1,1,0,,
Tm2,L2,[2],0,-40,0.03,0.01,1,1,0,,
Tm2,L5,[25],0,-40,0.03,50,1,1,0,,
C2,Mi1,[16],-80,-25,0.03,0.001,1,1,0,,
C2,Tm1,[7],-80,-25,0.03,0.001,1,1,0,,
C2,Tm9,[2],-80,-25,0.03,0.001,1,2,0,,
C3,Tm1,[22],-80,-23,0.03,0.001,1,1,0,,
C3,Tm2,[1],-80,-23,0.03,0.001,1,1,0,,
C3,Tm4,[20],-80,-23,0.03,0.001,1,1,0,,
C3,Tm9,[3],-80,-23,0.03,0.001,1,1,0,,
Tm1,C3,[1],0,-40,0.03,0.001,1,1,0,,
Tm1,Mi1,[1],0,-40,0.03,0.1,1,1,0,,
Tm1,Tm1,[1],0,-40,0.03,0.1,1,1,0,,
Tm1,Tm2,[2],0,-40,0.03,0.1,1,1,0,,
Tm1,Tm4,[3],0,-40,0.03,0.1,1,1,0,,
Tm1,Tm9,[2],0,-40,0.03,0.1,1,1,0,,
Tm2,C3,[1],0,-40,0.03,0.1,1,1,0,,
Tm2,Mi1,[1],0,-40,0.03,0.1,1,1,0,,
Tm2,Tm1,[5],0,-40,0.03,0.1,1,1,0,,
Tm2,Tm2,[0],0,-40,0.03,0.1,1,1,0,,
Tm2,Tm4,[3],0,-40,0.03,0.1,1,1,0,,
Tm4,Tm1,[1],0,-40,0.03,0.1,1,1,0,,
Tm4,C3,[2],0,-40,0.03,0.1,1,1,0,,
Tm4,Mi1,[1],0,-40,0.03,0.1,1,1,0,,
Tm1,T5a,"[2, 0, 0, 2, 0, 0, 2]",0,-56,0.1,5,1,1,0,,T5a-42
Tm1,T5b,"[2, 0, 0, 2, 0, 0, 2]",0,-56,0.1,5,1,1,0,,T5b-28
Tm1,T5c,[2],0,-56,0.1,5,1,1,0,,T5c-57
Tm1,T5d,[2],0,-56,0.1,5,1,1,0,,T5d-76
Tm2,T5a,"[2, 0, 0, 2, 0, 0, 2]",0,-55,0.1,5,1,1,0,,T5a-42
Tm2,T5b,"[2, 0, 0, 2, 0, 0, 2]",0,-55,0.1,5,1,1,0,,T5b-28
Tm2,T5c,[2],0,-55,0.1,5,1,1,0,,T5c-57
Tm2,T5d,[2],0,-55,0.1,5,1,1,0,,T5d-76
Tm4,T5a,"[2, 0, 0, 2, 0, 0, 2]",0,-56,0.1,5,1,1,0,,T5a-42
Tm4,T5b,"[2, 0, 0, 2, 0, 0, 2]",0,-56,0.1,5,1,1,0,,T5b-28
Tm4,T5c,[2],0,-56,0.1,5,1,1,0,,T5c-57
Tm4,T5d,[2],0,-56,0.1,5,1,1,0,,T5d-76
Tm9,T5a,"[0, 9, 9, 0, 0, 0, 0]",0,-56,0.1,5,1,2,0,,T5a-42
Tm9,T5b,"[0, 0, 0, 0, 9, 9, 0]",0,-56,0.1,5,1,2,0,,T5b-28
Tm9,T5c,"[0, 9, 0, 0, 0, 9, 9]",0,-56,0.1,5,1,2,0,,T5c-57
Tm9,T5d,"[0, 0, 9, 9, 9, 0, 0]",0,-56,0.1,5,1,2,0,,T5d-76
CT1,T5a,"[0, 9, 9, 0, 0, 0, 0]",-80,-56,1,50,1,2,1,,
CT1,T5b,"[0, 0, 0, 0, 9, 9, 0]",-80,-56,1,50,1,2,1,,
CT1,T5c,"[0, 9, 0, 0, 0, 9, 9]",-80,-56,1,50,1,2,1,,
CT1,T5d,"[0, 0, 9, 9, 9, 0, 0]",-80,-56,1,50,1,2,1,,
Mi1,C2,[7],-20,-75,0.03,0.1,1,1,0,,
Mi1,C3,[12],-20,-75,0.03,0.1,1,1,0,,
Mi1,Mi1,[11],-20,-75,0.03,0.1,1,1,0,,
Mi1,Tm1,[2],-20,-75,0.03,0.1,1,1,0,,
Mi1,L1,[26],-20,-75,0.03,0.1,1,1,0,,
Mi1,L5,[9],-20,-75,0.03,50,1,1,0,,
Tm9,CT1,[25],0,-56,0.0001,0.005,1,2,0,,
Tm1,CT1,[10],0,-56,0.0001,0.005,1,2,0,,